Word,Origin,Definition (rough),Semantic Cluster,N,V,Adj,Adv,Interject
shooteurs,en,shot inf,"2,6",c,,,,
shoota,ve,shot inf/spelling,"2,6",c,,,,
headshot,en,headshot,6,c,,,,
bullet,en,bullet,"4,6",c,,,,
gas,en,gas/drugs/awesome,"3,4,8",c,,,,
gasolina,es,gas/cum,"4,7",c,,,,
cheese,en,money/cheese (food),"3,4",c,,,,
slay,ve,kill or stunning,"6,8",,c,,,c
ramdam,ar,fuss/racket,9,c,,,,
niquer,aa,to fuck/deceive,"7,8",,c,,,
niquent,aa,niquer inf,"7,8",,c,,,
niques,aa,niquer inf,"7,8",,c,,,
nique,aa,niquer inf,"7,8",,c,,,
niquez,aa,niquer inf,"7,8",,c,,,
niqué,aa,niquer inf,"7,8",,c,,,
teh,brb,joint,3,c,,,,
cheh,mga,you deserve it/well done for you,8,,,,,c
zob,ar,penis,7,c,,,,
miskine,ar,poor thing,8,c,,,,
kebab,tr,kebab,3,c,,,,
hlel,ar,someone good/virtuous,9,c,,c,,
chouf,ar,look (draw attention),6,c,,,,
dojo,jp,dojo,5,c,,,,
emoji,jp,emoji,4,c,,,,
geisha,jp,geisha,2,c,,,,
judoka,jp,judoka,2,c,,,,
kamikaze,jp,suicide bombing,6,c,,,,
karaoké,jp,karaoke,10,c,,,,
lollipop,en,candy/penis,"3,7",c,,,,
tease,en,tease,9,c,c,,,
teaser,en,tease inf,"4,9",c,c,,,
karaté,jp,karate,"6,10",c,,,,
kata,jp,karate form,6,c,,,,
katana,jp,japanese sword,"4,6",c,,,,
manga,jp,manga,4,c,,,,
saké,jp,japanese rice liqour,3,c,,,,
sushi,jp,sushi,3,c,,,,
samouraï,jp,samurai,6,c,,,,
sensei,jp,martial arts instructor,2,c,,,,
tsunami,jp,tsunami,9,c,,,,
yakuza,jp,yakuza,6,c,,,,
yen,jp,yen (currency),4,c,,,,
kung fu,cnc,kung fu,"6,10",c,,,,
nunchuck,cnh,nunchuck,6,c,,,,
shaolin,cnm,shaolin (monk),1,c,,,,
thé,cnh,tea,3,c,,,,
wok,cnc,wok,3,c,,,,
wock,ve,lean (drink),3,c,,,,
yin,cnm,feminine/dark. Used with yang,9,c,,,,
yang,cnm,masculine/bright. Used with yin,9,c,,,,
zen,jp,zen,9,c,,c,,
judo,jp,judo,"6,10",c,,,,
ninja,jp,ninja,6,c,,,,
ninjas,jp,ninja inf,6,c,,,,
cosmonaute,ru,cosmonaut,1,c,,,,
défaitiste,ru,defeatist,9,c,,c,,
icône,ru,icon,9,c,,,,
tsar,ru,czar (russian nobility),1,c,,,,
vodka,ru,vodka,3,c,,,,
bars,ve,rapper's lyrics (good connotation),10,c,,,,
gadji,rm,(young) female non-romani,1,c,,,,
gadjis,rm,gadji inf,1,c,,,,
gadjo,rm,man non-romani,1,c,,,,
gadjos,rm,gadjo inf,1,c,,,,
cabeza,es,head,9,c,,,,
dasvidania,ru,goodbye,8,,,,,c
goulag,ru,gulag (soviet labor camps),6,c,,,,
perestroïka,ru,perestroika (soviet economic reform),9,c,,,,
cravate,sc,necktie/wrestling move,4,c,,,,
nettoyage ethnique,sc,ethnic cleansing,6,c,,,,
cravache,pl,quirt/whip,6,c,,,,
calèche,slv,carriage,4,c,,,,
taekwondo,kr,taekwondo,"6,10",c,,,,
bazar,hin,bazaar/jumble,5,c,,,,
maharadjah,hin,maharaja,1,c,,,,
avatar,hs,avatar,9,c,,,,
couscous,brb,couscous,3,c,,,,
sofa,ar,sofa,4,c,,,,
casher,hb,kosher,9,,,c,,
kippa,hb,kippah/scullcap,4,c,,,,
rabbin,hb,rabbi,2,c,,,,
shabbat,hb,sabbath (jewish),9,c,,,,
cash,en,cash/directly,4,c,,,c,
ouragan,tno,hurricane,9,c,,,,
bikini,msh,bikini,4,c,,,,
sexy,en,sexy,"7,8",,,c,,
bambou,pmd,bamboo,4,c,,,,
mangue,pmd,mango,3,c,,,,
boug,ant,chap/guy,8,c,,,,
bougs,ant,boug inf,8,c,,,,
bail,htc,thing/stuff/affair,9,c,,,,
bails,htc,bail inf,9,c,,,,
zombie,htc,zombie,9,c,,c,,
zombies,htc,zombie inf,9,c,,,,
alien,en,alien,"1,9",c,,c,,
aliens,en,alien inf,"1,9",c,,,,
reggae,jmc,reggae,10,c,,,,
mbila,ktb,police/cop,2,c,,,,
mbilas,ktb,mbila inf,2,c,,,,
béké,snt,person of white/french descent from the french antilles,1,c,,c,,
catamaran,tml,catamaran,4,c,,,,
curry,tml,curry,3,c,,,,
anorak,gld,anorak (heavy weatherproof jacket),4,c,,,,
igloo,int,igloo,4,c,,,,
kayak,int,kayak,4,c,,,,
whisky,eni,whiskey,3,c,,,,
clan,ens,clan,1,c,,,,
loch,ens,loch,5,c,,,,
troll,en,"internet troll usually, sometimes mythical being",9,c,,,,
choucroute,ald,sauerkraut,3,c,,,,
cible,ald,target,4,c,,,,
cibles,ald,cible inf,4,c,,,,
képi,ald,kepi (cap with flat circular top),4,c,,,,
képis,ald,képi inf,4,c,,,,
firme,en,company,9,c,,,,
halte,de,halt,8,c,c,,,c
nazi,de,nazi,1,c,,c,,
nazis,de,nazi inf,1,c,,,,
schnaps,de,schnapps,3,c,,,,
schnock,yd,fool/idiot,8,c,,c,,
apartheid,afk,apartheid,6,c,,,,
gaz,nl,gas,8,c,,,,
affaler,nl,to slump/slouch,9,,c,,,
blague,nl,joke,9,c,c,,,
blagues,nl,blague inf,9,c,c,,,
cancrelat,nl,cockroach,9,c,,,,
gruger,nl,to dupe/devour,9,,c,,,
iceberg,en,iceberg,9,c,,,,
kermesse,nl,kirmess/fair,5,c,,,,
ring,en,ring (usually in boxing sense),"4,5,6",c,,,,
trouille,nl,fear,9,c,,,,
vrac,nl,"bulk (as in ""in bulk"")",8,c,,,,
yacht,en,yacht,4,c,,,,
gyro,gr,gyro,3,c,,,,
gyros,gr,gyro inf,3,c,,,,
alpha,gr,"alpha, greek a (connotation of masculine leader)","1,9",c,,,,
beta,gr,beta (connotation of a masculine follower),"1,9",c,,,,
béta,gr,beta spelling,"1,9",c,,,,
delta,gr,delta,"4,9",c,,,,
kappa,gr,kappa,"4,9",c,,,,
iota,gr,iota,9,c,,,,
lambda,gr,lambda,9,c,,,,
sigma,gr,"sigma (connotation of ""lone wolf"" masculinity personality)","1,9",c,,,,
omega,gr,"omega, greek z",9,c,,,,
mollah,ar,learned muslim scholar,1,c,,,,
maquis,crs,thicket/connotations with guerilla,6,c,,,,
buongiorno,it,good day,8,,,,,c
arrivederci,it,see you later,8,,,,,c
ballerines,it,ballerinas,2,c,,,,
ballet,it,ballet,10,c,,,,
bambin,it,toddler,"1,9",c,,,,
bambino,it,bambin spelling,"1,9",c,,,,
bene,it,well,8,,,,c,
bravo,it,bravo,8,c,,,,c
brava,it,bravo inf,8,c,,,,c
caprice,it,whim/wish,9,c,,,,
caprices,it,caprice inf,9,c,,,,
cartel,it,cartel,6,c,,,,
cartelito,es,cartel,6,c,,,,
mic,en,microphone,10,c,,,,
ciao,it,hello/goodbye,8,,,,,c
